sample,seq_id,reads,Domain,Phylum,Class,Order,Family,Genus,Species,Taxon,known_contaminant
sample1.1B,c3274ef656cc6f9af68e58c504f07bd0,2,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola ventricosa,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Diadesmidaceae;Luticola;Luticola ventricosa,TRUE
sample2,c3274ef656cc6f9af68e58c504f07bd0,50,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola ventricosa,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Diadesmidaceae;Luticola;Luticola ventricosa,TRUE
